# fofId          snapnum redshift np     numSubGroups firstSubhaloId m_mean200 r_mean200 m_crit200 r_crit200 m_tophat200 r_tophat200 x                 y                z                phkey random
  62000200000001 62      0.02     72977  35           62000200000110 6431.602  1.034282  4690.837  0.5951568 5731.371    0.8132248   55.2725639343262  38.2975730895996 16.4799156188965 10585 616   
  62000200000002 62      0.02     46893  44           62000200000145 2757.2    0.7798101 1575.776  0.4136873 2181.076    0.5892027   32.9056549072266  41.1084785461426 30.5802555084229 9790  158   
  62000200000003 62      0.02     44141  29           62000200000189 4132.615  0.8924406 2674.405  0.4935019 3517.934    0.6911089   54.4901237487793  50.0600967407227 27.7406311035156 10964 921   
  62000200000004 62      0.02     43682  17           62000200000218 4225.394  0.8990959 3092.856  0.5180095 3743.254    0.7055339   39.0220680236816  52.6987113952637 23.369348526001  9258  61    
  62000200000005 62      0.02     35662  29           62000200000235 3434.967  0.8391171 2343.826  0.4722455 2973.827    0.6534504   37.9032287597656  36.488597869873  21.6317386627197 9880  823   
  62000200000006 62      0.02     29432  13           62000200000264 2708.056  0.7751998 1763.141  0.4294302 2295.458    0.5994299   59.6457710266113  40.2162551879883 14.4694271087646 12023 591   
  62000200000007 62      0.02     23634  12           62000200000277 2168.339  0.7198297 1607.793  0.416488  1916.08     0.5643557   61.3022079467773  36.0881538391113 20.1388301849365 10617 245   
  62000200000008 62      0.02     22843  16           62000200000289 2042.166  0.70551   1255.268  0.3835266 1574.399    0.528632    50.1811943054199  33.9486846923828 9.50264263153076 12144 134   
  62000200000009 62      0.02     20879  12           62000200000305 1948.785  0.6946676 1446.248  0.4020346 1785.26     0.5512166   32.1015663146973  54.9391288757324 29.8120250701904 9663  485   
  62000200000010 62      0.02     20346  17           62000200000317 1887.076  0.6872653 1047.161  0.3610425 1539.715    0.5246966   36.0571250915527  31.8601493835449 10.7196531295776 8411  44    
  62000200000011 62      0.02     17815  6            62000200000334 1696.182  0.663246  1343.399  0.3923044 1540.403    0.5247672   42.5564193725586  50.756778717041  9.71930599212646 8976  700   
  62000200000012 62      0.02     17416  5            62000200000340 1616.744  0.6527264 1163.177  0.3738809 1428.862    0.5116709   48.4197006225586  49.1400985717773 19.8972492218018 11019 290   
  62000200000013 62      0.02     16320  16           62000200000345 1486.354  0.6342418 1109.817  0.3680799 1371.973    0.5047243   57.3663597106934  37.8039093017578 16.5221042633057 10586 255   
  62000200000014 62      0.02     16060  6            62000200000361 1493.239  0.6355705 1047.763  0.361093  1344.088    0.5013373   38.1640357971191  56.3594360351563 28.9501972198486 9603  901   
  62000200000015 62      0.02     14852  9            62000200000367 1422.579  0.6253958 1076.165  0.364345  1279.022    0.4931692   32.9702491760254  43.1168174743652 30.5211315155029 9729  21    
  62000300000000 62      0.02     146584 80           62000300000000 13448.36  1.322582  9446.826  0.7515858 11591.93    1.028423    44.0056114196777  14.7925024032593 13.6737394332886 13514 597   
  62000300000001 62      0.02     90648  59           62000300000080 8438.48   1.13225   5507.342  0.6278666 7202.32     0.8775349   42.1237640380859  18.5109958648682 12.2563819885254 14124 330   
  62000300000002 62      0.02     85063  49           62000300000139 6076.15   1.014865  3853.16   0.5573615 5152.58     0.7848641   45.5543632507324  23.0568389892578 15.7394199371338 14528 320   
  62000300000003 62      0.02     70402  40           62000300000188 6595.126  1.042968  4300.099  0.5781447 5514.658    0.8027949   53.8501052856445  14.5484180450439 23.7191524505615 15382 368   
  62000300000004 62      0.02     46788  23           62000300000228 4399.161  0.9112628 2751.778  0.4982115 3670.098    0.7009178   40.9217567443848  17.2107524871826 18.6490573883057 14549 509   
  62000300000005 62      0.02     46103  25           62000300000251 4379.28   0.9098884 3119.967  0.5195138 3918.398    0.7163812   32.7490653991699  14.6890621185303 22.3063335418701 15062 552   
  62000300000006 62      0.02     39530  20           62000300000276 3723.717  0.8620006 2578.528  0.4874974 3273.164    0.6746742   43.7581596374512  27.0203399658203 15.3291292190552 14150 206   
  62000300000007 62      0.02     39474  26           62000300000296 3743.771  0.8634879 2669.671  0.4931741 3359.229    0.6805452   43.8366279602051  14.4555912017822 23.8909530639648 15335 58    
  62000300000008 62      0.02     38051  26           62000300000322 3500.807  0.8444168 2329.109  0.4712851 3119.106    0.6639474   44.1733894348145  18.4120502471924 16.2361927032471 14543 783   
  62000300000009 62      0.02     37135  22           62000300000348 3059.549  0.8073202 2184.519  0.4613134 2624.4      0.6267838   36.832649230957   30.1697425842285 12.1313753128052 14221 606   
  62000300000010 62      0.02     33776  26           62000300000370 3194.155  0.8190539 2012.732  0.4488931 2706.421    0.6332634   57.1540489196777  14.5202417373657 29.5875244140625 15863 349   
  62000300000011 62      0.02     28679  14           62000300000396 2774.499  0.7814805 2043.888  0.4511802 2468.622    0.6141022   49.315601348877   15.8008127212524 18.0824928283691 16052 287   
  62000300000012 62      0.02     27491  17           62000300000410 2602.798  0.7650236 1815.555  0.4337184 2215.244    0.592375    37.2664337158203  13.7636842727661 2.22412967681885 13809 79    
  62000300000013 62      0.02     24494  11           62000300000427 2240.978  0.7277817 1286.94   0.3867337 1880.277    0.5608131   37.3921394348145  12.1176347732544 22.3058700561523 15080 64    
  62000300000014 62      0.02     23522  11           62000300000438 2275.232  0.7314881 1669.416  0.4217637 2006.535    0.5731467   61.3960494995117  23.9569702148438 20.6577434539795 16295 180   
  62000300000015 62      0.02     23340  16           62000300000449 2066.523  0.7083842 1448.485  0.4022174 1826.83     0.5555017   36.5842895507813  2.39349365234375 18.5043773651123 15020 818   
  62000300000016 62      0.02     23118  13           62000300000465 2236.33   0.7270948 1606.588  0.4163962 1948.355    0.5675597   57.0555000305176  10.5270872116089 7.36703062057495 12843 816   
  62000300000017 62      0.02     21822  8            62000300000478 1902.998  0.6891806 1241.583  0.3820822 1510.28     0.5213588   56.6931571960449  15.2004251480103 3.84165930747986 12815 493   
  62000300000018 62      0.02     21774  22           62000300000486 1718.473  0.6661521 1196.313  0.3772097 1455.715    0.5149835   38.2824058532715  15.7976741790771 20.3322620391846 14359 373   
  62000300000019 62      0.02     20102  5            62000300000508 1954.207  0.6953032 1479.813  0.4051364 1746.445    0.5471674   54.8077354431152  7.82623624801636 28.9025726318359 15822 80    
  62000300000020 62      0.02     19214  13           62000300000513 1846.883  0.6822579 1281.776  0.3862129 1600.822    0.5315679   52.1405906677246  15.0287055969238 21.181661605835  15597 480   
  62000300000021 62      0.02     18579  12           62000300000526 1693.772  0.6629372 1105.944  0.3676623 1336.858    0.5005822   50.32275390625    12.9163703918457 26.0430335998535 15388 724   
  62000300000022 62      0.02     17607  16           62000300000538 1617.346  0.6527172 1103.104  0.3672701 1459.502    0.5154529   41.418701171875   20.0861377716064 2.16997385025024 14044 536   
  62000300000024 62      0.02     17065  10           62000300000567 1638.776  0.6555818 1224.112  0.3803142 1460.965    0.5155506   39.918140411377   25.3720378875732 20.875207901001  14490 643   
  62000300000025 62      0.02     17024  10           62000300000577 1651.428  0.6573296 1113.087  0.3684091 1401.838    0.5084779   34.5596656799316  29.191162109375  8.00723934173584 14251 591   
  62000300000026 62      0.02     16413  11           62000300000587 1571.215  0.6464514 1225.317  0.3803828 1409.239    0.5094504   56.0663032531738  7.07423496246338 30.9548873901367 15782 913   
  62000300000027 62      0.02     15706  8            62000300000598 1467.764  0.6319183 1138.649  0.3712289 1321.366    0.4986441   42.3324432373047  26.2657833099365 9.08255481719971 14176 96    
  62000300000028 62      0.02     15700  8            62000300000606 1525.428  0.6401903 1146.653  0.372131  1355.104    0.5028561   56.2126502990723  10.4233503341675 28.4477310180664 15821 995   
  62000400000000 62      0.02     116157 68           62000400000000 8145.341  1.119006  5223.153  0.6168763 6778.36     0.8600011   58.7995910644531  13.1319131851196 33.3596878051758 16901 737   
  62000400000001 62      0.02     39781  11           62000400000068 3796.099  0.8675821 2922.704  0.5083247 3471.029    0.6880362   62.1834945678711  24.7280769348145 57.5620155334473 20426 722   
  62000400000002 62      0.02     29826  16           62000400000079 2965.737  0.7990546 2146.994  0.4586681 2535.409    0.6196075   59.6230964660645  9.5037088394165  34.7054214477539 16955 649   
  62000400000003 62      0.02     26535  13           62000400000095 2519.745  0.7566742 1799.891  0.4324292 2208.617    0.5917352   58.7325859069824  16.809326171875  56.93359375      20029 605   
  62000400000004 62      0.02     23628  12           62000400000108 2294.941  0.7334433 1598.584  0.4156888 1963.846    0.5690198   47.3776702880859  25.0989608764648 33.0594825744629 16630 874   
  62000400000005 62      0.02     22067  19           62000400000120 2050.256  0.7064579 1451.325  0.4024625 1810.822    0.553722    56.9418830871582  18.2032375335693 61.6566276550293 19995 292   
  62000400000006 62      0.02     19122  16           62000400000139 1828.293  0.6799711 1354.76   0.3934071 1641.703    0.5360115   61.5030784606934  27.7963733673096 60.4460220336914 20473 730   
  62000500000000 62      0.02     92586  64           62000500000000 4154.82   0.8940186 2535.15   0.4847927 3278.672    0.6750835   39.8877372741699  60.6837844848633 32.382999420166  23177 77    
  62000500000001 62      0.02     46292  46           62000500000064 3613.037  0.8533437 2548.405  0.4856234 3272.045    0.6746022   59.6959190368652  53.3116722106934 57.2949371337891 21040 454   
  62000500000002 62      0.02     38342  22           62000500000110 3509.328  0.8451005 2078.056  0.4536729 2884.319    0.6468294   35.2080574035645  56.5235900878906 41.4076614379883 23453 247   
  62000500000003 62      0.02     33458  30           62000500000132 2508.212  0.7555667 1725.272  0.4264013 2154.052    0.5868581   58.9093933105469  55.3675079345703 59.0381813049316 21058 891   
  62000500000004 62      0.02     32034  23           62000500000162 2192.781  0.7224925 1518.198  0.408609  1913.24     0.5640131   1.15827929973602  56.8311004638672 42.4603614807129 27556 242   
  62000500000006 62      0.02     23537  8            62000500000211 2196.654  0.7229465 1692.481  0.4236968 1986.998    0.5712361   58.0478935241699  50.901725769043  46.8400421142578 21538 365   
  62000500000007 62      0.02     23422  12           62000500000219 2133.482  0.7159608 1579.391  0.4140325 1829.584    0.5557652   0.527630567550659 61.6959991455078 43.0926475524902 27569 504   
  62000500000008 62      0.02     18715  13           62000500000231 1318.01   0.60946   1033.046  0.3594005 1188.739    0.4813575   50.9909973144531  61.2720031738281 46.5492515563965 21642 33    
  62000500000009 62      0.02     18649  17           62000500000244 1690.502  0.6624998 1178.669  0.3755645 1429.207    0.51186     61.860179901123   56.9604530334473 43.7534942626953 21572 507   
  62000500000010 62      0.02     18217  9            62000500000261 1707.801  0.6647617 1159.993  0.3735741 1467.764    0.5163618   61.1503219604492  55.2880401611328 56.9676666259766 21082 381   
