# fofid            subhaloid        galaxyid        x            y            z           redshift      velx          vely          velz          g_sdss        r_sdss        i_sdss       
  62000100000001   62000100000086   1000020006732   62.19648     56.81376     6.6159005   0.019932542   -471.93103    651.79956     4.8519535     -12.498128    -13.040709    -13.273736   
  62000100000001   62000100000086   1000020006260   0.34407306   56.719955    5.6625338   0.019932542   -131.429      49.187588     -264.80014    -14.416449    -15.0030985   -15.253395   
  62000100000001   62000100000086   1000020005822   62.063816    57.16166     6.3434134   0.019932542   -224.32175    216.2184      -116.05357    -13.673526    -14.320914    -14.606777   
  62000100000001   62000100000086   1000020005350   62.176342    57.109745    6.512603    0.019932542   -167.99265    -321.2093     -347.64703    -16.096176    -16.970013    -17.394127   
  62000100000001   62000100000086   1000020004794   61.75337     57.042393    6.2576113   0.019932542   -83.84137     522.7939      -698.9592     -15.635281    -16.397928    -16.744457   
  62000100000001   62000100000086   1000020004300   61.997814    57.021347    6.3172073   0.019932542   203.23018     -395.35754    -592.61804    -18.209368    -19.060522    -19.46133    
  62000100000001   62000100000086   1000020003903   61.888157    56.77168     6.62159     0.019932542   -505.4388     420.62857     331.2846      -9.860893     -10.290587    -10.49757    
  62000100000001   62000100000086   1000020003455   62.14688     56.794342    6.577856    0.019932542   -55.614662    -136.11467    90.00554      -14.753473    -15.446901    -15.758544   
  62000600000000   62000600000000   6000033004675   2.4792247    1.3990228    40.10915    0.019932542   -487.97528    -39.505714    184.04137     -16.434477    -17.1872      -17.526651   
  62000600000000   62000600000000   6000033002768   1.9801016    1.3021847    39.45997    0.019932542   -488.351      -45.518562    216.66484     -13.129176    -13.702001    -13.947678   
  62000600000000   62000600000000   6000033002316   2.1403105    1.176631     40.074196   0.019932542   88.39282      49.700897     133.70345     -17.288452    -18.101576    -18.48013    
  62000600000000   62000600000000   6000033001822   2.0732596    1.1027596    40.279427   0.019932542   -351.26987    -111.06847    -822.1856     -14.85847     -15.58662     -15.914839   
  62000300000000   62000300000000   3000042006478   43.97451     14.885053    13.415346   0.019932542   1211.5983     183.7335      537.2762      -15.129125    -15.810647    -16.114206   
  62000600000003   62000600000114   6000036001314   29.286188    31.098427    47.73808    0.019932542   500.71704     -186.84126    -7.6366315    -16.031702    -16.877232    -17.277641   
  62000600000003   62000600000114   6000036001734   29.360867    31.135786    48.14106    0.019932542   219.65982     -59.136272    -246.15463    -15.467521    -16.228626    -16.575296   
  62000600000003   62000600000114   6000036002217   29.188566    31.874378    48.361393   0.019932542   124.009674    -105.46959    -428.46085    -15.19877     -15.903667    -16.218628   
  62000600000003   62000600000114   6000036002646   29.171349    31.199675    47.97378    0.019932542   326.49823     80.29775      93.191025     -19.782106    -20.59115     -20.95787    
  62000600000003   62000600000114   6000036003564   29.16496     31.01018     48.885403   0.019932542   9.916624      86.50732      -169.09332    -13.260898    -13.902133    -14.184541   
  62000600000003   62000600000114   6000036003950   29.001255    31.388708    48.038277   0.019932542   260.98712     -2.203689     -370.28128    -18.714184    -19.503754    -19.861063   
  62000100000005   62000100000230   1000023001281   13.950146    40.100163    24.556246   0.019932542   -36.02812     181.408       98.43449      -17.17728     -17.984867    -18.356977   
  62000100000005   62000100000230   1000023001716   14.31469     39.060993    24.633743   0.019932542   9.722344      33.178875     78.39392      -14.6155405   -15.310637    -15.621741   
  62000100000005   62000100000230   1000023002142   13.897765    39.864952    24.990364   0.019932542   -1.1108528    42.942535     332.64133     -16.21134     -16.904913    -17.209627   
  62000300000000   62000300000000   3000042003696   44.01368     14.839297    13.696052   0.019932542   104.773346    -339.7184     -421.6172     99.0          99.0          99.0         
  62000300000000   62000300000000   3000042002804   43.91911     14.952483    13.526183   0.019932542   129.28319     365.3095      137.9345      -15.256551    -16.01793     -16.367151   
  62000300000000   62000300000000   3000042002335   44.072376    14.981493    13.603857   0.019932542   153.71318     171.1711      734.7595      -14.203839    -14.8692465   -15.164931   
  62000300000004   62000300000230   3000047004204   41.150826    17.815516    18.850227   0.019932542   -126.24093    -86.66616     209.66531     -21.261091    -22.086693    -22.457483   
  62000200000003   62000200000189   2000023000001   54.490124    50.060097    27.740631   0.019932542   -204.80078    110.9607      -43.051216    -21.168718    -21.954243    -22.309065   
  62000100000004   62000100000212   1000019022204   29.033798    57.498714    26.386925   0.019932542   435.0512      -356.5075     2.9423826     -14.223767    -14.915209    -15.224867   
  62000300000000   62000300000000   3000042007782   44.15448     13.358647    14.478352   0.019932542   210.75198     -161.56621    336.1897      -14.563819    -15.243759    -15.546107   
  62000300000000   62000300000000   3000042008192   45.431267    15.334861    12.287545   0.019932542   78.92443      333.91733     22.932726     -14.072025    -14.714641    -14.997765   
  62000300000000   62000300000000   3000042009289   44.12854     14.863242    13.221494   0.019932542   -183.64415    190.82814     -21.241951    -14.593649    -15.321483    -15.650657   
  62000300000026   62000300000597   3000067001927   56.53971     6.9077682    30.875729   0.019932542   61.05795      235.0249      -314.53735    -16.428204    -17.11537     -17.41512    
  62000300000019   62000300000508   3000060001222   54.767063    7.8582506    28.979025   0.019932542   167.63286     -27.679783    -431.86725    -15.988354    -16.774874    -17.13849    
  62000200000003   62000200000189   2000023004951   54.571415    49.656986    27.05807    0.019932542   -102.74088    206.34961     -259.40997    -15.802415    -16.52195     -16.843494   
  62000200000003   62000200000189   2000023004453   54.587784    50.068657    27.7464     0.019932542   445.95456     57.31792      -558.1965     -13.247192    -13.915089    -14.214262   
  62000200000003   62000200000189   2000023003952   54.58953     49.89763     27.619926   0.019932542   -718.7731     178.84213     526.8593      -13.417048    -14.021806    -14.283919   
  62000200000003   62000200000189   2000023003458   54.578064    50.102818    27.700611   0.019932542   -882.51       -171.03719    257.22006     -15.419582    -16.12496     -16.442438   
  62000200000003   62000200000189   2000023002943   54.79979     50.550503    27.541391   0.019932542   -267.83118    274.10983     32.272953     -13.962805    -14.630936    -14.927932   
  62000200000003   62000200000189   2000023002451   55.063583    50.2252      27.742847   0.019932542   -639.4131     131.03795     -0.42614993   -15.110243    -15.788868    -16.095139   
  62000200000003   62000200000189   2000023001997   54.832947    50.04393     27.887253   0.019932542   -204.52502    -4.1005025    -192.31331    -13.803361    -14.47374     -14.771352   
  62000200000003   62000200000189   2000023001506   54.48071     49.869625    27.816488   0.019932542   -237.00601    -3.6749046    207.37462     99.0          99.0          99.0         
  62000200000003   62000200000189   2000023001012   54.437298    50.05634     27.742199   0.019932542   59.561596     -106.63765    595.81647     -13.753882    -14.45049     -14.762651   
  62000500000002   62000500000111   5000049003440   35.1768      56.864338    41.2131     0.019932542   60.175198     345.57492     -149.07384    -12.881422    -13.503966    -13.7757015  
  62000500000001   62000500000088   5000048009161   59.56724     53.726933    57.439007   0.019932542   0.7751225     735.89246     248.04672     -17.207348    -17.73631     -17.994005   
  62000500000001   62000500000095   5000048002951   59.693104    53.445812    57.324013   0.019932542   383.08154     -108.043945   -133.8263     -17.678396    -18.444145    -18.792019   
  62000300000022   62000300000538   3000065001069   41.44746     19.829147    2.0515416   0.019932542   -205.03436    -577.38214    466.3644      -14.199048    -14.887374    -15.19584    
  62000300000022   62000300000538   3000065000567   41.761562    20.201458    1.6669697   0.019932542   55.938076     107.288765    409.98767     -14.780967    -15.404186    -15.672201   
  62000300000000   62000300000000   3000042007398   44.20693     14.135874    11.970714   0.019932542   -57.724304    330.96353     -92.438835    -12.198743    -12.717039    -12.94338    
  62000200000006   62000200000272   2000026003977   59.452244    40.410114    14.403252   0.019932542   -1.1438023    320.33197     -380.30698    -17.035149    -17.693285    -17.990936   
  62000100000001   62000100000086   1000020007698   62.432304    56.75866     6.621029    0.019932542   -319.41168    712.54224     -736.1176     -13.3081      -13.886       -14.128791   
  62000100000001   62000100000086   1000020007244   61.91013     57.35621     5.7801886   0.019932542   180.8714      360.16977     -567.30347    -14.66453     -15.306438    -15.58723    
  62000100000001   62000100000086   1000020006804   61.790024    57.14854     6.067322    0.019932542   6.6596594     -201.5779     332.51434     -15.377013    -16.042349    -16.33961    
  62000100000001   62000100000086   1000020006302   0.31992176   56.056866    7.0447006   0.019932542   -341.83273    37.04616      -149.52046    -16.234758    -16.812428    -17.073172   
  62000100000001   62000100000086   1000020005890   62.011272    57.03194     6.3470078   0.019932542   -719.43085    -353.60855    698.2155      -12.007407    -12.60868     -12.8687315  
  62000100000001   62000100000086   1000020005428   62.192036    56.97051     6.41661     0.019932542   687.6725      -208.05696    122.456955    -16.000565    -16.681194    -16.984076   
  62000100000001   62000100000086   1000020004932   61.7159      57.33327     6.115822    0.019932542   160.53368     -189.30353    284.79892     99.0          99.0          99.0         
