#name RAmax RAmin DECmax DECmin
truth318 106.476 96.4251 -10.3298 -21.3477
truth319 107.332 97.6187 0.718573 -10.3285
truth336 302.055 292.475 0.415611 -5.46013
truth337 302.912 293.158 -5.46631 -16.6642
truth338 304.214 293.897 -16.6466 -27.7968
truth339 306.172 294.773 -27.8025 -38.9215
truth340 309.145 295.936 -38.9207 -49.9591
truth341 314.062 297.642 -49.9626 -60.8727
truth342 323.013 300.793 -60.8745 -71.4064
truth343 349.039 309.556 -71.3873 -80.1977
truth344 57.561 348.92 -76.9423 -86.5295
truth345 95.8168 57.5414 -71.0772 -79.9828
truth346 104.234 82.2336 -60.5534 -71.0847
truth347 107.336 91.0585 -49.6498 -60.5561
truth348 109.027 95.8655 -38.5898 -49.6442
truth349 110.164 98.8298 -27.4803 -38.5838
truth350 111.043 100.761 -16.3295 -27.4717
truth351 111.796 102.036 -5.15374 -16.3419
truth352 112.464 102.874 0.72901 -5.16846
truth368 297.615 292.471 -0.151763 -11.3906
truth369 298.5 293.157 -11.3962 -22.6349
truth370 299.712 293.895 -22.6294 -33.8333
truth371 301.441 294.768 -33.8485 -45.0472
truth372 304.079 295.934 -45.0496 -56.2511
truth373 308.696 297.638 -56.2469 -67.4077
truth374 318.602 300.794 -67.4105 -78.3913
truth375 25.265 309.550 -78.3946 -86.5463
truth376 95.8016 25.3677 -78.072 -86.5353
truth377 104.232 86.6958 -67.0779 -78.066
truth378 107.337 96.3692 -55.9262 -67.0833
truth379 109.03 100.932 -44.7386 -55.9201
truth380 110.168 103.536 -33.5114 -44.7372
truth381 111.043 105.26 -22.3025 -33.5077
truth382 111.801 106.456 -11.0836 -22.296
truth383 112.469 107.309 0.162103 -11.0801
truth4 16.6088 7.2278 3.41696 -5.4472
truth40 358.866 348.022 3.09476 -5.93827
truth41 0.713414 351.15 -5.65628 -14.1059
truth42 5.64468 356.264 -13.161 -21.3507
truth43 13.2568 3.42542 -18.283 -27.1228
truth44 22.5993 12.4361 -20.1005 -30.9202
truth45 32.695 22.526 -20.1039 -30.8459
truth46 41.653 31.7953 -18.2369 -27.0111
truth47 48.7822 39.3708 -13.064 -21.1848
truth48 53.8866 44.2683 -5.53244 -13.9334
truth49 56.9765 46.0624 3.22678 -5.749
truth5 22.4975 13.6029 -2.40131 -11.8171
truth6 31.4151 22.4729 -2.40234 -11.7809
truth60 352.849 341.644 2.91999 -6.05031
truth61 354.343 344.173 -5.80823 -14.2538
truth62 358.245 348.351 -13.7844 -21.8461
truth63 4.51696 354.314 -20.2961 -28.4932
truth64 12.8949 2.20317 -24.6077 -33.7868
truth65 22.6077 11.8377 -26.1205 -37.2441
truth66 33.3336 22.5479 -26.1194 -37.1803
truth67 42.9479 32.1993 -24.5565 -33.6762
truth68 50.7823 40.5354 -20.1988 -28.3418
truth69 56.712 46.7732 -13.6498 -21.6491
truth7 37.7509 28.3224 3.44932 -5.34201
truth70 60.8235 50.6354 -5.65113 -14.0409
truth71 63.3456 52.0815 3.08131 -5.82908
truth84 346.758 335.183 2.7067 -6.14559
truth85 348.019 337.258 -5.9301 -14.2973
truth86 351.156 340.621 -14.0915 -22.0192
truth87 356.266 345.46 -21.3328 -29.1672
truth88 3.43245 352.067 -27.1198 -35.4176
truth89 12.4427 0.627251 -30.9084 -40.386
truth90 22.6323 11.032 -32.2112 -43.6437
truth91 34.2087 22.5703 -32.2099 -43.5579
truth92 44.5665 32.695 -30.8501 -40.2812
truth93 53.1019 41.6574 -27.0151 -35.2661
truth94 59.6415 48.7803 -21.185 -28.9859
truth95 64.4444 53.874 -13.9206 -21.8066
truth96 67.7534 56.9703 -5.74017 -14.072
truth97 69.7989 58.1882 2.89773 -5.9123
